period_code,period
1,01/2010
2,02/2010
3,03/2010
4,04/2010
5,05/2010
6,06/2010
7,07/2010
8,08/2010
9,09/2010
10,10/2010
11,11/2010
12,12/2010
13,01/2011
14,02/2011
15,03/2011
16,04/2011
17,05/2011
18,06/2011
19,07/2011
20,08/2011
21,09/2011
22,10/2011
23,11/2011
24,12/2011
25,01/2012
26,02/2012
27,03/2012
28,04/2012
29,05/2012
30,06/2012
31,07/2012
32,08/2012
33,09/2012
34,10/2012
35,11/2012
36,12/2012
37,01/2013
38,02/2013
39,03/2013
40,04/2013
41,05/2013
42,06/2013
43,07/2013
44,08/2013
45,09/2013
46,10/2013
47,11/2013
48,12/2013
49,01/2014
50,02/2014
51,03/2014
52,04/2014
53,05/2014
54,06/2014
55,07/2014
56,08/2014
57,09/2014
58,10/2014
59,11/2014
60,12/2014
61,01/2015
62,02/2015
63,03/2015
64,04/2015
65,05/2015
66,06/2015
67,07/2015
68,08/2015
69,09/2015
70,10/2015
71,11/2015
72,12/2015
73,01/2016
74,02/2016
75,03/2016
76,04/2016
77,05/2016
78,06/2016
79,07/2016
80,08/2016
81,09/2016
82,10/2016
83,11/2016
84,12/2016
85,01/2017
86,02/2017
87,03/2017
88,04/2017
89,05/2017
90,06/2017
91,07/2017
92,08/2017
93,09/2017
94,10/2017
95,11/2017
96,12/2017
97,01/2018
98,02/2018
99,03/2018
100,04/2018
101,05/2018
102,06/2018
103,07/2018
104,08/2018
105,09/2018
106,10/2018
107,11/2018
108,12/2018
109,01/2019
110,02/2019
111,03/2019
112,04/2019
113,05/2019
114,06/2019
115,07/2019
116,08/2019
117,09/2019
118,10/2019
119,11/2019
120,12/2019
121,01/2020
122,02/2020
123,03/2020
124,04/2020
125,05/2020
126,06/2020
127,07/2020
128,08/2020
129,09/2020
130,10/2020
131,11/2020
132,12/2020
133,01/2021
134,02/2021
135,03/2021
136,04/2021
137,05/2021
138,06/2021
139,07/2021
140,08/2021
141,09/2021
142,10/2021
143,11/2021
144,12/2021
145,01/2022
146,02/2022
147,03/2022
148,04/2022
149,05/2022
150,06/2022
151,07/2022
152,08/2022
153,09/2022
154,10/2022
155,11/2022
156,12/2022
